sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,description,fk,material,name,op,price,ptm,sd,size,status,tax_class_id,visibility,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsyerdf2011_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsyerdf2011_other_2.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbsyerdf2011_other_1.jpg,,4,0
JC15HBTBGRPR1402,,Bags,simple,Bags,Default Category,base,,Grey and Violet big dome shaped tote bag with jutecotton exteriors and canvas interiors ,Yes,Jutecotton, Grey Hand -Held bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbgrpr1402_other_2.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbgrpr1402_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbgrpr1402_other_3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbgrpr1402_other_1.jpg,,4,0
JC15HBTBTCNBBG7,,Bags,simple,Bags,Default Category,base,,"The new Brown Tote bag 2015 model, made by  is a spacious, strong yet fashionable hand bag with 2 top open pouch pockets in the front and 3 pockets in the interior suffcient enough to segregate and hold your important stuff like mobiles, pens and money in addition to improved stiffness and support with smooth and durable bright black canvas interiors. The bag has single gussetted compartment suitable to hold your carry items. Please note that this model doesn't have a zipped closure for the main compartment.",Yes,Jutecotton,Brown Tote bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbtcnbbg7_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbtcnbbg7_other_1.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbtcnbbg7_other_4.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbtcnbbg7_other_3.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15hbtbtcnbbg7_other_2.jpg,,5,0
JC15JMBBRPRGR16,,Bags,simple,Bags,Default Category,base,,Deep Brown With Rich Blue Colored Gym Bag Made From Rough And Tough Jutecotton Material And Strong Cotton Interiors Is Suitable For Carrying Your Gym Apparels And Accessories Or As A Fashionable Travel Bag..,Yes,Jutecotton,  Brown Blue Duffel,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbbrprgr16_other_4.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbbrprgr16_other_3.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbbrprgr16_other_2.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbbrprgr16_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbbrprgr16_main_1.jpg,,5,0
JC15JMBPRBRGR16,,Bags,simple,Bags,Default Category,base,,Deep Brown With Rich Blue Colored Gym Bag Made From Rough And Tough Jutecotton Material And Strong Cotton Interiors Is Suitable For Carrying Your Gym Apparels And Accessories Or As A Fashionable Travel Bag..,Yes,Jutecotton, Brown Blue Duffel Bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbprbrgr16_other_4.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbprbrgr16_other_1.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbprbrgr16_other_2.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/c/jc15jmbprbrgr16_main.jpg,,1,0
